Date,BNB,ADA,ETH,LTC,TRX,BTC,XRP,DOGE
2018-04-10,12.022866451018963,0.15645861653266155,412.6893456266917,113.22010585305367,0.036960693918003995,6829.3165037953904,0.49296590454655198,0.0031029359581255921
2018-04-11,12.13922298893697,0.16581090224514816,427.3849460078481,117.51233008450956,0.036153999805124078,6925.1019954766298,0.54038464156745536,0.0033383155969489691
2018-04-12,12.799931730343992,0.21285054905675554,488.60548934434905,128.13317754698781,0.039349280725351189,7836.3969939992703,0.62522267943835341,0.0037880274478673151
2018-04-13,13.417312721422798,0.19893245843277063,488.99218126708564,124.29787496615739,0.038819113367855713,7845.7528401059399,0.6350362834715515,0.0039718619022459595
2018-04-14,13.086582059822462,0.19954657735278089,495.11291363236046,124.1746814012885,0.039572215047118178,7897.7199308580603,0.63094824964761176,0.0041330971272966078
2018-04-15,12.959183256487508,0.22105538551375975,525.52744453987543,130.45881375372625,0.042610744009685404,8258.0670836975496,0.67987326551564342,0.0045720706040446825
2018-04-16,12.184611133181534,0.25620473240326014,507.11031309582995,127.4667727120365,0.041257953708151295,8030.9992619525401,0.66304429600558035,0.0045960586451233845
2018-04-17,11.741575281205545,0.24346264127594142,498.46700764950907,132.3262489705113,0.042004035261361927,7873.6355101025501,0.65657485134262561,0.0047009159560560242
2018-04-18,12.218015022481854,0.26051755691255851,517.37404319597374,138.69603066281829,0.047175903858494482,8097.4182331030097,0.70534964409897771,0.0053892547476585007
2018-04-19,12.371723835790444,0.27251094301192574,566.39208385127779,145.87231651685039,0.049359420194214798,8277.4606391625293,0.78990123761666553,0.0058285189475342268
2018-04-20,12.302105756625004,0.29437876798311308,590.27192246768004,151.26841861301372,0.05260763093279771,8499.4500087148699,0.93038518462274,0.0057493547779844641
2018-04-21,13.28982921982262,0.29141968404209201,600.25967677332085,147.40247720684445,0.053586727042242821,8878.4282602972307,0.87220570305007095,0.005408085008010861
2018-04-22,12.852767058971171,0.28420780737845458,617.20240788557282,145.51358758404632,0.052322965282962278,8769.0119994734796,0.86924699388306337,0.0055466046950097192
2018-04-23,13.560522838457365,0.2876005132930135,636.36716389659568,150.78138800915974,0.058233353138432496,8881.3917043454494,0.87502474491745996,0.0055353080023187798
2018-04-24,15.241439470736335,0.31328580442613102,705.0276448443027,165.08342868690187,0.073164317079215141,9716.4897573307207,0.94019808648742953,0.0058392189104752475
2018-04-25,13.342972207280585,0.26982232192390782,613.72672529066335,143.88045095561665,0.06989999818533249,8825.2025000692993,0.79530025584541075,0.0050703632237185294
2018-04-26,14.57726507688748,0.29353815622000723,657.05779348515478,152.46915560377178,0.073862660004298711,9221.8680261843601,0.85159611706914773,0.0055521071669120108
2018-04-27,14.212057912211318,0.28930349913622366,641.99360562253275,144.59768948632836,0.074149468530613688,8940.3811220071893,0.81365016159070003,0.0054182601297256845
2018-04-28,15.041869385737895,0.35582330699036724,672.59693682745421,149.8508628563722,0.081377467152701194,9249.6595250892296,0.86102676837771297,0.0054574032101426424
2018-04-29,14.947588206817171,0.36305017713798343,680.12049538865926,151.63689154490572,0.088792325461058433,9325.6288510467894,0.87064060274932309,0.0054253573204116508
2018-04-30,14.246399877140533,0.34119557382647364,662.73273583735602,146.73118195554378,0.093475734568738422,9198.1895099732701,0.83534294088293737,0.0053129727920512041
2018-05-01,14.060864795619642,0.35634536482349932,665.22578614130759,146.52400811846007,0.092490377810372282,9024.3875117766001,0.83730012680026877,0.0051247325258516685
2018-05-02,14.249383899103186,0.36946448000067572,676.55256393888374,149.1472491550424,0.090664944401215627,9122.6530138301896,0.85539609043929699,0.0052969492543938406
2018-05-03,15.448139762196021,0.37194974818042298,781.42578047472864,161.35754757349989,0.087746161106298404,9551.1351838156606,0.88759864458968196,0.0054370260528248324
2018-05-04,14.237158896409744,0.3587821424432725,777.9076470179848,167.61074575782067,0.086587929225309959,9634.5382259722701,0.89384439470044263,0.0052520263421593251
2018-05-05,14.291985373392782,0.36531319109779264,807.06732916372755,176.70588609455913,0.08670877742029591,9766.2444854888709,0.90419180534248211,0.00516970252697143
2018-05-06,13.900459861655671,0.34903139031495944,785.89274351051995,170.79621725868913,0.084766310226645145,9583.8717455013702,0.8715255463137187,0.0049760640060669981
2018-05-07,13.685278605630916,0.33428333100258556,748.81314139380731,163.32915289318768,0.083060477066754526,9308.2650257218502,0.83137930911708724,0.0048194169534493273
2018-05-08,13.396341964807261,0.3218179391155529,744.32482571935554,157.85512355700502,0.082733881188462657,9149.5178331472307,0.81225899411245472,0.0051943110741505252
2018-05-09,14.550455378709186,0.31599425659577701,743.63981573990316,155.1768238426219,0.080521086556080645,9248.9603955844905,0.80028627419168785,0.005030069047350357
2018-05-10,13.708279687569693,0.29529566918002337,717.41287436335915,146.70866311795237,0.07340193921712089,8969.9403757425807,0.75557035767356373,0.0047515438628168219
2018-05-11,12.933453496550497,0.26128109940340793,675.29175250220567,135.88423784689235,0.066094256533394749,8405.5605632417992,0.68617054526869681,0.0044644908893816679
2018-05-12,12.966169851328511,0.27120094460262484,683.17026761310717,141.33580863523432,0.068886427951263679,8480.5803761255902,0.69782083410013074,0.0040207461546906123
2018-05-13,13.118135547834948,0.28557429199064066,726.87191052557966,143.38873235912763,0.0757269121655995,8683.9862031429002,0.74586988743912963,0.0042046362676908542
2018-05-14,12.904868526380334,0.27394454380548278,727.80268164278812,147.38680683593563,0.072804529679454583,8696.9740038728305,0.74170971457333623,0.0045008489609807741
2018-05-15,12.560588145112673,0.25917040327307816,703.15568145841689,138.8294109945077,0.068305358350454259,8473.3486490536598,0.69721611988297272,0.0045252175572934308
2018-05-16,12.249370130238358,0.25596444195201118,702.45311870460432,138.22082159970802,0.071850663620146124,8343.1252216954999,0.71359386434716743,0.0043741137410170366
2018-05-17,12.475591573103722,0.24351748531372056,665.62753133701528,131.61095672285796,0.067356664948204983,8056.0531923747503,0.66705011771567591,0.0040711657820697916
2018-05-18,15.118121142296898,0.24225753121621815,686.21326872573468,134.6957056644186,0.069362609957067348,8202.8254095521406,0.67951485124933708,0.0041607609845136246
2018-05-19,14.162741043113783,0.23978137591701221,685.84675397899468,133.25913673047643,0.068827897841296032,8180.6270099140902,0.67403085226342552,0.004248582448232425
2018-05-20,14.005451311816811,0.25443190906714752,703.81466664923062,137.41384704555773,0.076863089928203093,8443.2602459154205,0.69784657158013408,0.0043338037209712304
2018-05-21,14.729696464866585,0.24806124426766124,688.91322122952806,132.81566196130788,0.082202052423875585,8354.9963359174799,0.68022127705293411,0.0041877505832649837
2018-05-22,13.86015042739797,0.22445222963328695,641.10035114231732,127.32553019047644,0.074836815288441716,8009.2995067827997,0.64520861401859853,0.0038635857508945459
2018-05-23,12.629702695921232,0.20075895439492097,581.2411880572671,118.61623659959878,0.07006511505424956,7556.3160429207701,0.60119855008438494,0.0034715735423081623
2018-05-24,13.008157408916572,0.20810629223519944,597.84877186691403,121.80109414918044,0.072893081756099251,7563.4354654434601,0.63163762279836444,0.0035043369393881279
