,date,BNB,ADA,ETH,LTC,TRX,BTC,XRP,DOGE
955,2020-08-12,21.60059011305779,0.13654137240996128,387.50053082397886,54.54470331354024,0.02022681915912518,11579.867951602135,0.2823902059280601,0.003468203023112884
956,2020-08-13,21.76114130202024,0.13934430136552997,427.49026536796873,57.100321798050956,0.022394464441035312,11817.164038803397,0.29433364365567655,0.003475583511088875
957,2020-08-14,23.024404503993193,0.13825948705473937,438.7625874702974,56.85779249013981,0.02474309253393991,11777.391322489924,0.2995466202839251,0.003565641572000632
958,2020-08-15,22.90796258336114,0.13823721599011335,432.6546652389318,59.94634718861119,0.025178287260628304,11864.905810156475,0.29931113568183204,0.0035358624778860036
959,2020-08-16,23.47471960773288,0.13876880982976605,433.43186093211244,63.75157771852119,0.02808867721994377,11901.776488302461,0.3032923477695733,0.0035283480267116743
960,2020-08-17,23.52633097478227,0.14066093296166526,430.03250508972275,67.14423287720139,0.03039781950475864,12272.465808160425,0.3146297531934636,0.0036046791835642237
961,2020-08-18,22.97380165407701,0.13702646573422966,422.10665286599425,65.43571062296172,0.028742046447685545,11949.610970628193,0.3029762978947723,0.0035033070646000655
962,2020-08-19,22.307582956985765,0.12943229880582274,406.5744691821068,61.984558909579945,0.026467623825155533,11733.278970862082,0.29012669674711095,0.0034207621855172547
963,2020-08-20,23.07262944423247,0.1342025581766098,416.46977582279794,62.87917513877963,0.02752118987516019,11861.83657727968,0.29225257818676637,0.0034467814862876025
964,2020-08-21,22.094652464902527,0.12261719847765214,386.8238914189483,59.11248314238979,0.024189390712833252,11515.124298729217,0.2791806305823162,0.0033843070799204995
965,2020-08-22,22.175839292385888,0.12531555685950455,395.88501828908585,60.32046983706104,0.025135586074232864,11676.385305081287,0.2854389359353903,0.003443644442810703
966,2020-08-23,21.837617728162876,0.12160888158106746,390.7891350477376,60.53938150614906,0.024402748687601134,11647.928120934363,0.2851067954158283,0.0034119365820615547
967,2020-08-24,22.571494222389706,0.12369254695958502,408.2691456317229,62.249707561005,0.02511701016207541,11758.828120368864,0.2889889462508965,0.0034030800716417183
